Do you have a campus in Tucson?,LOCATION
Do you have a school in Denver?,LOCATION
Where is you campus in Houston?,LOCATION
Is there a campus in SoCal?,LOCATION
What's the address of the Renton Campus?,LOCATION
What's the closest school near me?,LOCATION
Where is the nearest school?,LOCATION
Where is your campus in Seattle?,LOCATION
What is the nearest campus to Los Angeles?,LOCATION
Do you offer it online?,ONLINE
Do you offer it over the internet?,ONLINE
Do you offer it on the computer?,ONLINE
Can I take that program on my computer?,ONLINE
I would like information on you online bachelor program for radiologic technologists,ONLINE
Can I get a bachelors degree online?,ONLINE
Can I get an associates degree online?,ONLINE
Can I get an associates degree on-line?,ONLINE
Can I get a degree over the web?,ONLINE
What programs do you offer through the computer?,ONLINE
Can I take classes at home on my computer?,ONLINE
Can I take classes using my laptop?,ONLINE
I want to inquire about the CNA programs,PROGRAMS
Do you offer a billing and coding program,PROGRAMS
Do you have offer a bachelors degree in HCA in Tucson?,PROGRAMS
Do you offer certificate programs?,PROGRAMS
Can I get an associates degree?,PROGRAMS
Do you offer 2 year degrees?,PROGRAMS
Can I get a bachelors degree at Pima?,PROGRAMS
Do you offer associates degrees in Respiratory Therapy,PROGRAMS
Can I get a batchlors degree in nursing?,PROGRAMS
What programs do you offer?,PROGRAMS
Do you offer associates degree programs?,PROGRAMS
